Tile,Source Number,APT_g,APT_error_g,m_g,m_g_error,M_g,M_g_error,APT_i,APT_error_i,m_i,m_i_error,M_i,M_i_error,,,,,
2,89,-6.7733,0.0376,18.20373,,10.41619399,,-7.699,0.019,16.7569,,8.96936399,,,,,,
2,90,-5.4728,0.1101,19.50423,,11.71669399,,-5.1101,0.1889,19.3458,,11.55826399,,,,,,
2,91,-7.601,0.0202,17.37603,,9.58849399,,-7.7585,0.0184,16.6974,,8.90986399,,,,,,
2,92,-6.3571,0.0618,18.61993,,10.83239399,,-7.4249,0.0273,17.031,,9.24346399,,,,,,
2,93,-6.5462,0.0442,18.43083,,10.64329399,,-7.4063,0.0232,17.0496,,9.26206399,,,,,,
2,94,-5.2465,0.1309,19.73053,,11.94299399,,-5.1421,0.1464,19.3138,,11.52626399,,,,,,
2,95,-10.1006,0.0047,14.87643,,7.08889399,,-10.2793,0.0043,14.1766,,6.38906399,,,,,,
2,96,-7.6386,0.0198,17.33843,,9.55089399,,-7.7939,0.0179,16.662,,8.87446399,,,,,,
2,97,-13.483,0.001,11.49403,,3.70649399,,-13.0619,0.0011,11.394,,3.60646399,,,,,,
2,98,-6.4956,0.0457,18.48143,,10.69389399,,-6.6383,0.042,17.8176,,10.03006399,,,,,,
2,99,-6.3081,0.0542,18.66893,,10.88139399,,-6.408,0.0504,18.0479,,10.26036399,,,,,,
2,100,-5.8945,0.097,19.08253,,11.29499399,,-6.2462,0.064,18.2097,,10.42216399,,,,,,
2,101,-9.8347,0.0055,15.14233,,7.35479399,,-9.8749,0.0054,14.581,,6.79346399,,,,,,
2,102,-6.1765,0.0769,18.80053,,11.01299399,,-6.2712,0.0713,18.1847,,10.39716399,,,,,,
2,103,-7.8348,0.0172,17.14223,,9.35469399,,-8.1706,0.0138,16.2853,,8.49776399,,,,,,
2,104,-7.0806,0.0296,17.89643,,10.10889399,,-6.773,0.038,17.6829,,9.89536399,,,,,,
2,105,-10.4682,0.004,14.50883,,6.72129399,,-10.0703,0.0049,14.3856,,6.59806399,,,,,,
2,106,-7.5876,0.0241,17.38943,,9.60189399,,-7.3204,0.0297,17.1355,,9.34796399,,,,,,
2,107,-6.0826,0.0659,18.89443,,11.10689399,,-6.0865,0.0682,18.3694,,10.58186399,,,,,,
2,108,-4.6486,0.2328,20.32843,,12.54089399,,-4.4132,0.3292,20.0427,,12.25516399,,,,,,
2,109,-4.7336,0.2174,20.24343,,12.45589399,,-5.32,0.1322,19.1359,,11.34836399,,,,,,
2,110,-11.1411,0.0028,13.83593,,6.04839399,,-10.8672,0.0033,13.5887,,5.80116399,,,,,,
3,1,-7.9204,0.0141,17.07805,,9.29051399,,-7.8004,0.0153,17.18805,,9.40051399,,,,,,
3,2,-6.3313,0.0406,18.66715,,10.87961399,,-6.4856,0.0365,18.50285,,10.71531399,,,,,,
3,3,-6.5791,0.0337,18.41935,,10.63181399,,-7.7269,0.0159,17.26155,,9.47401399,,,,,,
3,4,-5.8613,0.0586,19.13715,,11.34961399,,-5.6158,0.0719,19.37265,,11.58511399,,,,,,
3,5,-7.5482,0.0177,17.45025,,9.66271399,,-8.0882,0.0144,16.90025,,9.11271399,,,,,,
3,6,-5.7796,0.0616,19.21885,,11.43131399,,-5.9891,0.0695,18.99935,,11.21181399,,,,,,
3,7,-6.2193,0.044,18.77915,,10.99161399,,-6.4113,0.0385,18.57715,,10.78961399,,,,,,
3,8,-5.4792,0.0793,19.51925,,11.73171399,,-6.6512,0.0324,18.33725,,10.54971399,,,,,,
3,9,-6.1544,0.0464,18.84405,,11.05651399,,-5.8229,0.0605,19.16555,,11.37801399,,,,,,
3,10,-5.5512,0.0746,19.44725,,11.65971399,,-5.4666,0.08,19.52185,,11.73431399,,,,,,
3,11,-6.6039,0.0333,18.39455,,10.60701399,,-7.2512,0.0259,17.73725,,9.94971399,,,,,,
