Tile,Source Number,APT_g,APT_error_g,m_g,m_g_ec,m_g_error,M_g,M_g_error,APT_i,APT_error_i,m_i,m_i_ec,m_i_error,M_i,M_i_error,g-i,,,,
2,89,-6.7733,0.0376,17.4658,16.90429,,9.11675399,,-7.699,0.019,16.1737,15.88504,,8.09750399,,1.01925,,,,
2,90,-5.4728,0.1101,18.7663,18.20479,,10.41725399,,-5.1101,0.1889,18.7626,18.47394,,10.68640399,,-0.26915,,,,
2,91,-7.601,0.0202,16.6381,16.07659,,8.28905399,,-7.7585,0.0184,16.1142,15.82554,,8.03800399,,0.25105,,,,
2,92,-6.3571,0.0618,17.882,17.32049,,9.53295399,,-7.4249,0.0273,16.4478,16.15914,,8.37160399,,1.16135,,,,
2,93,-6.5462,0.0442,17.6929,17.13139,,9.34385399,,-7.4063,0.0232,16.4664,16.17774,,8.39020399,,0.95365,,,,
2,94,-5.2465,0.1309,18.9926,18.43109,,10.64355399,,-5.1421,0.1464,18.7306,18.44194,,10.65440399,,-0.01085,,,,
2,95,-10.1006,0.0047,14.1385,13.57699,,5.78945399,,-10.2793,0.0043,13.5934,13.30474,,5.51720399,,0.27225,,,,
2,96,-7.6386,0.0198,16.6005,16.03899,,8.25145399,,-7.7939,0.0179,16.0788,15.79014,,8.00260399,,0.24885,,,,
2,97,-13.483,0.001,10.7561,10.19459,,2.40705399,,-13.0619,0.0011,10.8108,10.52214,,2.73460399,,-0.32755,,,,
2,98,-6.4956,0.0457,17.7435,17.18199,,9.39445399,,-6.6383,0.042,17.2344,16.94574,,9.15820399,,0.23625,,,,
2,99,-6.3081,0.0542,17.931,17.36949,,9.58195399,,-6.408,0.0504,17.4647,17.17604,,9.38850399,,0.19345,,,,
2,100,-5.8945,0.097,18.3446,17.78309,,9.99555399,,-6.2462,0.064,17.6265,17.33784,,9.55030399,,0.44525,,,,
2,101,-9.8347,0.0055,14.4044,13.84289,,6.05535399,,-9.8749,0.0054,13.9978,13.70914,,5.92160399,,0.13375,,,,
2,102,-6.1765,0.0769,18.0626,17.50109,,9.71355399,,-6.2712,0.0713,17.6015,17.31284,,9.52530399,,0.18825,,,,
2,103,-7.8348,0.0172,16.4043,15.84279,,8.05525399,,-8.1706,0.0138,15.7021,15.41344,,7.62590399,,0.42935,,,,
2,104,-7.0806,0.0296,17.1585,16.59699,,8.80945399,,-6.773,0.038,17.0997,16.81104,,9.02350399,,-0.21405,,,,
2,105,-10.4682,0.004,13.7709,13.20939,,5.42185399,,-10.0703,0.0049,13.8024,13.51374,,5.72620399,,-0.30435,,,,
2,106,-7.5876,0.0241,16.6515,16.08999,,8.30245399,,-7.3204,0.0297,16.5523,16.26364,,8.47610399,,-0.17365,,,,
2,107,-6.0826,0.0659,18.1565,17.59499,,9.80745399,,-6.0865,0.0682,17.7862,17.49754,,9.71000399,,0.09745,,,,
2,108,-4.6486,0.2328,19.5905,19.02899,,11.24145399,,-4.4132,0.3292,19.4595,19.17084,,11.38330399,,-0.14185,,,,
2,109,-4.7336,0.2174,19.5055,18.94399,,11.15645399,,-5.32,0.1322,18.5527,18.26404,,10.47650399,,0.67995,,,,
2,110,-11.1411,0.0028,13.098,12.53649,,4.74895399,,-10.8672,0.0033,13.0055,12.71684,,4.92930399,,-0.18035,,,,
3,1,-7.9204,0.0141,16.81319,16.25168,,8.46414399,,-7.8004,0.0153,19.3506,19.06194,,11.27440399,,-2.81026,,,,
3,2,-6.3313,0.0406,18.40229,17.84078,,10.05324399,,-6.4856,0.0365,18.50285,18.21419,,10.42665399,,-0.37341,,,,
3,3,-6.5791,0.0337,18.15449,17.59298,,9.80544399,,-7.7269,0.0159,17.26155,16.97289,,9.18535399,,0.62009,,,,
3,4,-5.8613,0.0586,18.87229,18.31078,,10.52324399,,-5.6158,0.0719,19.37265,19.08399,,11.29645399,,-0.77321,,,,
3,5,-7.5482,0.0177,17.18539,16.62388,,8.83634399,,-8.0882,0.0144,16.90025,16.61159,,8.82405399,,0.01229,,,,
3,6,-5.7796,0.0616,18.95399,18.39248,,10.60494399,,-5.9891,0.0695,18.99935,18.71069,,10.92315399,,-0.31821,,,,
3,7,-6.2193,0.044,18.51429,17.95278,,10.16524399,,-6.4113,0.0385,18.57715,18.28849,,10.50095399,,-0.33571,,,,
3,8,-5.4792,0.0793,19.25439,18.69288,,10.90534399,,-6.6512,0.0324,18.33725,18.04859,,10.26105399,,0.64429,,,,
3,9,-6.1544,0.0464,18.57919,18.01768,,10.23014399,,-5.8229,0.0605,19.16555,18.87689,,11.08935399,,-0.85921,,,,
3,10,-5.5512,0.0746,19.18239,18.62088,,10.83334399,,-5.4666,0.08,19.52185,19.23319,,11.44565399,,-0.61231,,,,
3,11,-6.6039,0.0333,18.12969,17.56818,,9.78064399,,-7.2512,0.0259,17.73725,17.44859,,9.66105399,,0.11959,,,,
3,12,-6.9797,0.0255,17.75389,17.19238,,9.40484399,,-6.8328,0.0284,18.15565,17.86699,,10.07945399,,-0.67461,,,,
3,13,-5.7971,0.0618,18.93649,18.37498,,10.58744399,,-7.2099,0.0266,17.77855,17.48989,,9.70235399,,0.88509,,,,
3,14,-5.4874,0.0779,19.24619,18.68468,,10.89714399,,-5.3277,0.0908,19.66075,19.37209,,11.58455399,,-0.68741,,,,
3,15,-5.5049,0.0773,19.22869,18.66718,,10.87964399,,-6.9714,0.0318,18.01705,17.72839,,9.94085399,,0.93879,,,,
3,16,-6.1066,0.0479,18.62699,18.06548,,10.27794399,,-6.2789,0.0422,18.70955,18.42089,,10.63335399,,-0.35541,,,,
3,17,-9.2632,0.0068,15.47039,14.90888,,7.12134399,,-10.1549,0.0044,14.83355,14.54489,,6.75735399,,0.36399,,,,
3,18,-12.012,0.0018,12.72159,12.16008,,4.37254399,,-11.2743,0.0026,13.71415,13.42549,,5.63795399,,-1.26541,,,,
3,19,-9.9966,0.0048,14.73699,14.17548,,6.38794399,,-10.2012,0.0043,14.78725,14.49859,,6.71105399,,-0.32311,,,,
3,20,-8.7006,0.0091,16.03299,15.47148,,7.68394399,,-9.1566,0.0076,15.83185,15.54319,,7.75565399,,-0.07171,,,,
3,21,-6.6919,0.0393,18.04169,17.48018,,9.69264399,,-7.0095,0.025,17.97895,17.69029,,9.90275399,,-0.21011,,,,
3,23,-13.5689,0.0009,11.16469,10.60318,,2.81564399,,-13.1897,0.0011,11.79875,11.51009,,3.72255399,,-0.90691,,,,
3,24,-8.603,0.0097,16.13059,15.56908,,7.78154399,,-8.2038,0.0135,16.78465,16.49599,,8.70845399,,-0.92691,,,,
3,25,-5.6217,0.0701,19.11189,18.55038,,10.76284399,,-5.6231,0.0953,19.36535,19.07669,,11.28915399,,-0.52631,,,,
3,26,-5.7721,0.0845,18.96149,18.39998,,10.61244399,,-5.9187,0.0747,19.06975,18.78109,,10.99355399,,-0.38111,,,,
3,27,-7.3058,0.0247,17.42779,16.86628,,9.07874399,,-8.347,0.0123,16.64145,16.35279,,8.56525399,,0.51349,,,,
3,28,-6.5649,0.0434,18.16869,17.60718,,9.81964399,,-6.7855,0.0365,18.20295,17.91429,,10.12675399,,-0.30711,,,,
3,29,-6.3036,0.0537,18.42999,17.86848,,10.08094399,,-6.7367,0.0379,18.25175,17.96309,,10.17555399,,-0.09461,,,,
3,30,-7.4453,0.0223,17.28829,16.72678,,8.93924399,,-7.3674,0.0198,17.62105,17.33239,,9.54485399,,-0.60561,,,,
3,31,-6.5661,0.034,18.16749,17.60598,,9.81844399,,-6.7603,0.0371,18.22815,17.93949,,10.15195399,,-0.33351,,,,
3,32,-5.3575,0.0867,19.37609,18.81458,,11.02704399,,-4.1545,0.2468,20.83395,20.54529,,12.75775399,,-1.73071,,,,
3,33,-10.4445,0.0038,14.28909,13.72758,,5.94004399,,-10.0055,0.0047,14.98295,14.69429,,6.90675399,,-0.96671,,,,
3,34,-5.5391,0.1033,19.19449,18.63298,,10.84544399,,-5.5353,0.1029,19.45315,19.16449,,11.37695399,,-0.53151,,,,
3,35,-8.8383,0.0085,15.89529,15.33378,,7.54624399,,-8.9374,0.0081,16.05105,15.76239,,7.97485399,,-0.42861,,,,
3,36,-5.1827,0.1398,19.55089,18.98938,,11.20184399,,-6.2009,0.0452,18.78755,18.49889,,10.71135399,,0.49049,,,,
3,37,-5.483,0.1072,19.25059,18.68908,,10.90154399,,-4.8525,0.1883,20.13595,19.84729,,12.05975399,,-1.15821,,,,
3,38,-5.8208,0.06,18.91279,18.35128,,10.56374399,,-5.0892,0.152,19.89925,19.61059,,11.82305399,,-1.25931,,,,
3,39,-5.8852,0.057,18.84839,18.28688,,10.49934399,,-5.4319,0.0828,19.55655,19.26789,,11.48035399,,-0.98101,,,,
3,40,-5.223,0.1362,19.51059,18.94908,,11.16154399,,-5.1334,0.1468,19.85505,19.56639,,11.77885399,,-0.61731,,,,
3,41,-6.7193,0.0383,18.01429,17.45278,,9.66524399,,-6.8265,0.0284,18.16195,17.87329,,10.08575399,,-0.42051,,,,
3,42,-6.2601,0.043,18.47349,17.91198,,10.12444399,,-6.166,0.0581,18.82245,18.53379,,10.74625399,,-0.62181,,,,
3,43,-8.1251,0.0126,16.60849,16.04698,,8.25944399,,-8.2088,0.012,16.77965,16.49099,,8.70345399,,-0.44401,,,,
3,44,-5.4859,0.0781,19.24769,18.68618,,10.89864399,,-5.4426,0.1108,19.54585,19.25719,,11.46965399,,-0.57101,,,,
3,45,-9.6235,0.0057,15.11009,14.54858,,6.76104399,,-9.4414,0.0063,15.54705,15.25839,,7.47085399,,-0.70981,,,,
3,46,-6.5942,0.0425,18.13939,17.57788,,9.79034399,,-7.0211,0.0249,17.96735,17.67869,,9.89115399,,-0.10081,,,,
3,47,-5.9404,0.0544,18.79319,18.23168,,10.44414399,,-6.9814,0.0314,18.00705,17.71839,,9.93085399,,0.51329,,,,
3,48,-13.6181,0.0012,11.11549,10.55398,,2.76644399,,-13.3432,0.0013,11.64525,11.35659,,3.56905399,,-0.80261,,,,
3,49,-6.2249,0.0438,18.50869,17.94718,,10.15964399,,-6.553,0.0436,18.43545,18.14679,,10.35925399,,-0.19961,,,,
3,50,-5.7291,0.064,19.00449,18.44298,,10.65544399,,-5.3937,0.0841,19.59475,19.30609,,11.51855399,,-0.86311,,,,
3,51,-5.7064,0.0652,19.02719,18.46568,,10.67814399,,-6.5926,0.0424,18.39585,18.10719,,10.31965399,,0.35849,,,,
3,52,-7.3516,0.0199,17.38199,16.82048,,9.03294399,,-8.2197,0.0133,16.76875,16.48009,,8.69255399,,0.34039,,,,
3,53,-7.6063,0.0171,17.12729,16.56578,,8.77824399,,-7.4297,0.0228,17.55875,17.27009,,9.48255399,,-0.70431,,,,
3,54,-5.3716,0.0862,19.36199,18.80048,,11.01294399,,-4.8331,0.1351,20.15535,19.86669,,12.07915399,,-1.06621,,,,
3,55,-5.4506,0.0804,19.28299,18.72148,,10.93394399,,-5.024,0.1598,19.96445,19.67579,,11.88825399,,-0.95431,,,,
3,56,-5.5085,0.0765,19.22509,18.66358,,10.87604399,,-5.7351,0.0865,19.25335,18.96469,,11.17715399,,-0.30111,,,,
3,57,-5.5965,0.098,19.13709,18.57558,,10.78804399,,-5.8001,0.082,19.18835,18.89969,,11.11215399,,-0.32411,,,,
3,58,-9.246,0.0073,15.48759,14.92608,,7.13854399,,-9.1305,0.0077,15.85795,15.56929,,7.78175399,,-0.64321,,,,
3,59,-5.8836,0.0761,18.84999,18.28848,,10.50094399,,-5.2782,0.1289,19.71025,19.42159,,11.63405399,,-1.13311,,,,
3,60,-5.04,0.1136,19.69359,19.13208,,11.34454399,,-5.0612,0.1552,19.92725,19.63859,,11.85105399,,-0.50651,,,,
3,61,-7.2098,0.0266,17.52379,16.96228,,9.17474399,,-7.8524,0.0147,17.13605,16.84739,,9.05985399,,0.11489,,,,
3,62,-6.3385,0.0405,18.39509,17.83358,,10.04604399,,-6.6205,0.0417,18.36795,18.07929,,10.29175399,,-0.24571,,,,
3,63,-4.9982,0.1643,19.73539,19.17388,,11.38634399,,-5.7092,0.0651,19.27925,18.99059,,11.20305399,,0.18329,,,,
3,64,-5.6917,0.0665,19.04189,18.48038,,10.69284399,,-6.1899,0.0593,18.79855,18.50989,,10.72235399,,-0.02951,,,,
3,65,-7.2002,0.022,17.53339,16.97188,,9.18434399,,-7.3839,0.0221,17.60455,17.31589,,9.52835399,,-0.34401,,,,
3,66,-5.4003,0.085,19.33329,18.77178,,10.98424399,,-5.1759,0.1415,19.81255,19.52389,,11.73635399,,-0.75211,,,,
3,67,-6.6554,0.0403,18.07819,17.51668,,9.72914399,,-6.7433,0.0302,18.24515,17.95649,,10.16895399,,-0.43981,,,,
3,68,-7.2785,0.0252,17.45509,16.89358,,9.10604399,,-7.7102,0.0186,17.27825,16.98959,,9.20205399,,-0.09601,,,,
3,69,-13.6656,0.0009,11.06799,10.50648,,2.71894399,,-13.2751,0.0011,11.71335,11.42469,,3.63715399,,-0.91821,,,,
3,70,-5.6498,0.0694,19.08379,18.52228,,10.73474399,,-5.793,0.0834,19.19545,18.90679,,11.11925399,,-0.38451,,,,
