Tile,Source Number,APT_g,APT_error_g,m_g,m_g_error,M_g,M_g_error,APT_i,APT_error_i,m_i,m_i_error,M_i,M_i_error,g-i,,,,
2,109,-4.7336,0.2174,19.5055,,11.71796399,,-5.32,0.1322,18.5527,,10.76516399,,0.9528,,,,
2,110,-11.1411,0.0028,13.098,,5.31046399,,-10.8672,0.0033,13.0055,,5.21796399,,0.0925,,,,
3,1,-7.9204,0.0141,16.81319,,9.02565399,,-7.8004,0.0153,19.3506,,11.56306399,,-2.53741,,,,
3,2,-6.3313,0.0406,18.40229,,10.61475399,,-6.4856,0.0365,18.50285,,10.71531399,,-0.10056,,,,
3,3,-6.5791,0.0337,18.15449,,10.36695399,,-7.7269,0.0159,17.26155,,9.47401399,,0.89294,,,,
3,4,-5.8613,0.0586,18.87229,,11.08475399,,-5.6158,0.0719,19.37265,,11.58511399,,-0.50036,,,,
3,5,-7.5482,0.0177,17.18539,,9.39785399,,-8.0882,0.0144,16.90025,,9.11271399,,0.28514,,,,
3,6,-5.7796,0.0616,18.95399,,11.16645399,,-5.9891,0.0695,18.99935,,11.21181399,,-0.04536,,,,
3,7,-6.2193,0.044,18.51429,,10.72675399,,-6.4113,0.0385,18.57715,,10.78961399,,-0.06286,,,,
3,8,-5.4792,0.0793,19.25439,,11.46685399,,-6.6512,0.0324,18.33725,,10.54971399,,0.91714,,,,
3,9,-6.1544,0.0464,18.57919,,10.79165399,,-5.8229,0.0605,19.16555,,11.37801399,,-0.58636,,,,
3,10,-5.5512,0.0746,19.18239,,11.39485399,,-5.4666,0.08,19.52185,,11.73431399,,-0.33946,,,,
3,11,-6.6039,0.0333,18.12969,,10.34215399,,-7.2512,0.0259,17.73725,,9.94971399,,0.39244,,,,
3,12,-6.9797,0.0255,17.75389,,9.96635399,,-6.8328,0.0284,18.15565,,10.36811399,,-0.40176,,,,
3,13,-5.7971,0.0618,18.93649,,11.14895399,,-7.2099,0.0266,17.77855,,9.99101399,,1.15794,,,,
3,14,-5.4874,0.0779,19.24619,,11.45865399,,-5.3277,0.0908,19.66075,,11.87321399,,-0.41456,,,,
3,15,-5.5049,0.0773,19.22869,,11.44115399,,-6.9714,0.0318,18.01705,,10.22951399,,1.21164,,,,
3,16,-6.1066,0.0479,18.62699,,10.83945399,,-6.2789,0.0422,18.70955,,10.92201399,,-0.08256,,,,
3,17,-9.2632,0.0068,15.47039,,7.68285399,,-10.1549,0.0044,14.83355,,7.04601399,,0.63684,,,,
3,18,-12.012,0.0018,12.72159,,4.93405399,,-11.2743,0.0026,13.71415,,5.92661399,,-0.99256,,,,
3,19,-9.9966,0.0048,14.73699,,6.94945399,,-10.2012,0.0043,14.78725,,6.99971399,,-0.05026,,,,
3,20,-8.7006,0.0091,16.03299,,8.24545399,,-9.1566,0.0076,15.83185,,8.04431399,,0.20114,,,,
3,21,-6.6919,0.0393,18.04169,,10.25415399,,-7.0095,0.025,17.97895,,10.19141399,,0.06274,,,,
3,23,-13.5689,0.0009,11.16469,,3.37715399,,-13.1897,0.0011,11.79875,,4.01121399,,-0.63406,,,,
3,24,-8.603,0.0097,16.13059,,8.34305399,,-8.2038,0.0135,16.78465,,8.99711399,,-0.65406,,,,
3,25,-5.6217,0.0701,19.11189,,11.32435399,,-5.6231,0.0953,19.36535,,11.57781399,,-0.25346,,,,
3,26,-5.7721,0.0845,18.96149,,11.17395399,,-5.9187,0.0747,19.06975,,11.28221399,,-0.10826,,,,
3,27,-7.3058,0.0247,17.42779,,9.64025399,,-8.347,0.0123,16.64145,,8.85391399,,0.78634,,,,
3,28,-6.5649,0.0434,18.16869,,10.38115399,,-6.7855,0.0365,18.20295,,10.41541399,,-0.03426,,,,
3,29,-6.3036,0.0537,18.42999,,10.64245399,,-6.7367,0.0379,18.25175,,10.46421399,,0.17824,,,,
3,30,-7.4453,0.0223,17.28829,,9.50075399,,-7.3674,0.0198,17.62105,,9.83351399,,-0.33276,,,,
3,31,-6.5661,0.034,18.16749,,10.37995399,,-6.7603,0.0371,18.22815,,10.44061399,,-0.06066,,,,
3,32,-5.3575,0.0867,19.37609,,11.58855399,,-4.1545,0.2468,20.83395,,13.04641399,,-1.45786,,,,
3,33,-10.4445,0.0038,14.28909,,6.50155399,,-10.0055,0.0047,14.98295,,7.19541399,,-0.69386,,,,
3,34,-5.5391,0.1033,19.19449,,11.40695399,,-5.5353,0.1029,19.45315,,11.66561399,,-0.25866,,,,
