Tile,Source Number,APT_g,APT_error_g,m_g,m_g_error,M_g,M_g_error,APT_i,APT_error_i,m_i,m_i_error,M_i,M_I_error,g-i,,,,
1,110,-8.169,0.0123,16.8496,,9.06206399,,-7.7333,0.0184,16.1457,,8.35816399,,-0.7039,,,,
1,111,-6.1601,0.0466,18.8585,,11.07096399,,-5.8581,0.0786,18.0209,,10.23336399,,-0.8376,,,,
1,112,-7.2744,0.0212,17.7442,,9.95666399,,-7.014,0.0308,16.865,,9.07746399,,-0.8792,,,,
1,113,-7.3911,0.0195,17.6275,,9.83996399,,-7.0022,0.0312,16.8768,,9.08926399,,-0.7507,,,,
1,114,-7.8974,0.0143,17.1212,,9.33366399,,-7.2812,0.0252,16.5978,,8.81026399,,-0.5234,,,,
1,115,-8.1811,0.0122,16.8375,,9.04996399,,-7.7966,0.0175,16.0824,,8.29486399,,-0.7551,,,,
1,116,-6.0215,0.0514,18.9971,,11.20956399,,-5.8617,0.0777,18.0173,,10.22976399,,-0.9798,,,,
1,117,-6.8468,0.0447,18.1718,,10.38426399,,-6.1924,0.0771,17.6866,,9.89906399,,-0.4852,,,,
1,118,-5.9226,0.0554,19.096,,11.30846399,,-5.6907,0.0905,18.1883,,10.40076399,,-0.9077,,,,
1,119,-11.3947,0.0025,13.6239,,5.83636399,,-10.8848,0.0032,12.9942,,5.20666399,,-0.6297,,,,
1,120,-7.1286,0.0233,17.89,,10.10246399,,-6.5947,0.0434,17.2843,,9.49676399,,-0.6057,,,,
1,121,-6.8485,0.028,18.1701,,10.38256399,,-6.4772,0.0465,17.4018,,9.61426399,,-0.7683,,,,
1,122,-7.2186,0.0219,17.8,,10.01246399,,-6.676,0.0399,17.203,,9.41546399,,-0.597,,,,
1,123,-6.4182,0.038,18.6004,,10.81286399,,-6.1798,0.0598,17.6992,,9.91166399,,-0.9012,,,,
1,124,-6.1295,0.0477,18.8891,,11.10156399,,-6.5149,0.0459,17.3641,,9.57656399,,-1.525,,,,
1,125,-5.2954,0.0926,19.7232,,11.93566399,,-4.6308,0.2285,19.2482,,11.46066399,,-0.475,,,,
1,126,-6.118,0.0478,18.9006,,11.11306399,,-5.8273,0.0811,18.0517,,10.26416399,,-0.8489,,,,
1,127,-5.6784,0.0681,19.3402,,11.55266399,,-5.7158,0.0861,18.1632,,10.37566399,,-1.177,,,,
1,128,-6.7501,0.0302,18.2685,,10.48096399,,-6.753,0.0375,17.126,,9.33846399,,-1.1425,,,,
1,129,-6.0774,0.0496,18.9412,,11.15366399,,-5.8257,0.0816,18.0533,,10.26576399,,-0.8879,,,,
1,130,-7.345,0.024,17.6736,,9.88606399,,-7.8941,0.0166,15.9849,,8.19736399,,-1.6887,,,,
1,131,-5.5063,0.0776,19.5123,,11.72476399,,-5.6589,0.0928,18.2201,,10.43256399,,-1.2922,,,,
1,132,-6.0753,0.0653,18.9433,,11.15576399,,-5.7122,0.0889,18.1668,,10.37926399,,-0.7765,,,,
1,133,-5.4722,0.1092,19.5464,,11.75886399,,-5.789,0.0834,18.09,,10.30246399,,-1.4564,,,,
1,134,-6.1027,0.0483,18.9159,,11.12836399,,-7.2458,0.026,16.6332,,8.84566399,,-2.2827,,,,
1,135,-5.0336,0.1145,19.985,,12.19746399,,-5.2234,0.1354,18.6556,,10.86806399,,-1.3294,,,,
1,136,-5.3465,0.0882,19.6721,,11.88456399,,-5.5583,0.1018,18.3207,,10.53316399,,-1.3514,,,,
1,137,-9.2111,0.007,15.8075,,8.01996399,,-8.6215,0.0104,15.2575,,7.46996399,,-0.55,,,,
1,138,-6.7188,0.0308,18.2998,,10.51226399,,-6.619,0.0421,17.26,,9.47246399,,-1.0398,,,,
1,140,-4.5769,0.2099,20.4417,,12.65416399,,-4.1197,0.3623,19.7593,,11.97176399,,-0.6824,,,,
1,141,-6.2365,0.0448,18.7821,,10.99456399,,-5.9311,0.0746,17.9479,,10.16036399,,-0.8342,,,,
1,142,-5.926,0.0763,19.0926,,11.30506399,,-5.4689,0.1422,18.4101,,10.62256399,,-0.6825,,,,
1,143,-5.6724,0.0916,19.3462,,11.55866399,,-6.9537,0.0387,16.9253,,9.13776399,,-2.4209,,,,
1,144,-6.6936,0.0488,18.325,,10.53746399,,-7.099,0.0296,16.78,,8.99246399,,-1.545,,,,
1,145,-8.6396,0.0095,16.379,,8.59146399,,-8.5137,0.0111,15.3653,,7.57776399,,-1.0137,,,,
1,146,-5.1557,0.1034,19.8629,,12.07536399,,-5.0498,0.1585,18.8292,,11.04166399,,-1.0337,,,,
1,147,-6.6456,0.0321,18.373,,10.58546399,,-6.2921,0.0547,17.5869,,9.79936399,,-0.7861,,,,
1,148,-11.2751,0.0026,13.7435,,5.95596399,,-10.8473,0.0032,13.0317,,5.24416399,,-0.7118,,,,
1,149,-5.0057,0.1185,20.0129,,12.22536399,,-5.2626,0.1313,18.6164,,10.82886399,,-1.3965,,,,
1,150,-5.9438,0.0726,19.0748,,11.28726399,,-6.4453,0.0594,17.4337,,9.64616399,,-1.6411,,,,
1,151,-5.959,0.0542,19.0596,,11.27206399,,-5.5931,0.0988,18.2859,,10.49836399,,-0.7737,,,,
1,152,-8.6994,0.0092,16.3192,,8.53166399,,-8.2956,0.0126,15.5834,,7.79586399,,-0.7358,,,,
1,153,-6.2663,0.0427,18.7523,,10.96476399,,-6.3821,0.0503,17.4969,,9.70936399,,-1.2554,,,,
1,154,-5.9609,0.0722,19.0577,,11.27016399,,-5.3775,0.1532,18.5015,,10.71396399,,-0.5562,,,,
1,155,-7.9933,0.0136,17.0253,,9.23776399,,-9.1375,0.0078,14.7415,,6.95396399,,-2.2838,,,,
1,156,-6.3078,0.0552,18.7108,,10.92326399,,-6.4527,0.0605,17.4263,,9.63876399,,-1.2845,,,,
1,157,-6.5535,0.0348,18.4651,,10.67756399,,-6.4859,0.047,17.3931,,9.60556399,,-1.072,,,,
1,158,-5.3489,0.0885,19.6697,,11.88216399,,-5.1435,0.1451,18.7355,,10.94796399,,-0.9342,,,,
1,159,-5.7145,0.0658,19.3041,,11.51656399,,-7.099,0.0291,16.78,,8.99246399,,-2.5241,,,,
1,160,-5.3933,0.0864,19.6253,,11.83776399,,-5.5617,0.1017,18.3173,,10.52976399,,-1.308,,,,
1,161,-5.1693,0.103,19.8493,,12.06176399,,-6.4072,0.05,17.4718,,9.68426399,,-2.3775,,,,
1,162,-10.048,0.0048,14.9706,,7.18306399,,-9.9601,0.005,13.9189,,6.13136399,,-1.0517,,,,
1,163,-8.4101,0.0119,16.6085,,8.82096399,,-7.6208,0.0231,16.2582,,8.47066399,,-0.3503,,,,
1,164,-6.4241,0.0381,18.5945,,10.80696399,,-6.9399,0.0328,16.9391,,9.15156399,,-1.6554,,,,
1,165,-6.6762,0.0409,18.3424,,10.55486399,,-6.216,0.0605,17.663,,9.87546399,,-0.6794,,,,
