# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Wed Oct 22 22:48:35 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: SDSS <i>ugriz</i>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.0152 0.01508 7.11000 1.0499999523 2.4828114860    1.050 -0.222  3.6787  4.347    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.58e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.324 8.586 6.240 5.330 5.069 4.939
0.0152 0.01508 7.11000 1.0673922300 2.4860048560    1.067 -0.191  3.6837  4.344    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.76e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.247 8.399 6.115 5.236 4.987 4.865
0.0152 0.01508 7.11000 1.1000000238 2.4916801480    1.099 -0.129  3.6937  4.335    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.18e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.092 8.029 5.869 5.050 4.824 4.717
0.0152 0.01508 7.11000 1.1397613287 2.4980976867    1.139 -0.048  3.7064  4.320    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -5.81e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.891 7.566 5.565 4.817 4.616 4.529
0.0152 0.01508 7.11000 1.1499999762 2.4996678137    1.149 -0.026  3.7098  4.316    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -6e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.836 7.443 5.484 4.754 4.560 4.477
0.0152 0.01508 7.11000 1.1707150936 2.5027481612    1.170  0.018  3.7166  4.307    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -6.4e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.725 7.204 5.326 4.631 4.448 4.375
0.0152 0.01508 7.11000 1.2000000477 2.5068948796    1.200  0.086  3.7267  4.290    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -7.12e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.555 6.853 5.093 4.445 4.279 4.219
0.0152 0.01508 7.11000 1.2032927275 2.5073466251    1.203  0.094  3.7278  4.288    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -7.21e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.536 6.814 5.067 4.424 4.260 4.202
0.0152 0.01508 7.11000 1.2311099768 2.5110524259    1.231  0.163  3.7375  4.267    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -8.07e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.362 6.476 4.835 4.238 4.090 4.045
0.0152 0.01508 7.11000 1.2500000000 2.5134610955    1.250  0.213  3.7443  4.251    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -8.81e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 4.236 6.234 4.672 4.107 3.969 3.932
0.0152 0.01508 7.11000 1.2562416792 2.5142386857    1.256  0.231  3.7465  4.244    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -9.06e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 4.194 6.153 4.618 4.063 3.929 3.894
0.0152 0.01508 7.11000 1.2849755287 2.5177065865    1.285  0.315  3.7571  4.212    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.05e-13      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 3.982 5.771 4.353 3.847 3.730 3.708
